Name,address,ratings,contact details
Care Hospitals,Nampally,4.1,"040 67256666 , 9866390032"
Bristlecone Hospitals,Barkatpura,4.5,"040 45999999 , 9885004340"
Paradise Dental Hospitals,"Flat No 101 B, 1st Floor, Guru Partha Estates",4.3,"040 42616545 , 9494228286"
Fernandez Hospitals Unit 4,hyderguda,4.5,040 40632400 
"Government Maternity Hospital,sultan Bazar",Sultan bazar,3.9,040 24653422
Maxcure Hospitals,hitechcity,4.1,"040 49404940 , 7331148853"
Dugabai Deshmuk Hospitals,Vidyanagar,3.9,040 27681100
AP Super Speciality Dental Hospitals,"[Rtc x Roads, India]",4,040  27639942
alpha hospitals,[India],3.5,040 66711111
Global Hospitals Lakadikapul,[India],4.3,"040 23244440 , 910071125"
lotus hospitals for women and children,"D. No: 6-2-29, Lakdikapul Road",2.9,040 40404444
Viranchi Hospitals,Madan Tank,4.5,040 46999999
CARE Hospitals Ladies Hostel,[India],3.6,040 61656565
Maxivision Eye Hospitals,Dilsukhnagar,3.9,040 24146060
Global hospitals corporate off,[India],4.6,040 23473397
SUGAR (Apollo Hospitals),Asif Nagar Rd,4.9,8096380007
Srihitha Hospitals,"[Hyderabad 500060, TG, India]",3.3,040 24067555
focus hospitals,[India],3,040 23351818
Vasavi Hospitals,lakdi la pool,3.2,040 23232729
Hyderabadsmiles dental hospitals,"15/2 rt ,beside Dr.Agarwal eye hospital",3.8,8801627272
Star hospitals,8-2-596/5,4.6,040 23456788
Sunshine hospitals,201 to 205,4.1,040 40383998
